in/test4.inTime: 0.031000ms
Memory: 1.699219kB
in/test13.inTime: 0.479000ms
Memory: 1.699219kB
in/test2.inTime: 0.059000ms
Memory: 1.699219kB
in/test12.inTime: 0.449000ms
Memory: 1.699219kB
in/test5.inTime: 0.021000ms
Memory: 1.699219kB
in/test7.inTime: 0.006000ms
Memory: 1.699219kB
in/test1.inTime: 0.044000ms
Memory: 1.699219kB
in/test10.inTime: 0.007000ms
Memory: 1.699219kB
in/test20.inTime: 0.180000ms
Memory: 1.699219kB
in/test15.inTime: 0.151000ms
Memory: 1.699219kB
in/test18.inTime: 0.392000ms
Memory: 1.699219kB
in/test11.inTime: 0.300000ms
Memory: 1.699219kB
in/test8.inTime: 0.014000ms
Memory: 1.699219kB
in/test19.inTime: 0.554000ms
Memory: 1.699219kB
in/test9.inTime: 0.011000ms
Memory: 1.699219kB
in/test14.inTime: 0.519000ms
Memory: 1.699219kB
in/test6.inTime: 0.014000ms
Memory: 1.699219kB
in/test3.inTime: 0.042000ms
Memory: 1.699219kB
in/test16.inTime: 0.498000ms
Memory: 1.699219kB
in/test17.inTime: 0.389000ms
Memory: 1.699219kB
